username;caption;tag;tagId;link
"_haru_na_";"Today's breakfast🍞\nおはようございます☀️\n曇りだけど暖かいみたいで嬉しい♡\n今朝のサラダには紅くるり大根を入れてみました。鮮やかでキレイな色✨\nオリーブオイルとnomadic saltで。\n今日も、楽しい1日を✨\n#朝 #朝ごはん #朝食 #モーニング #朝時間 #ワンプレート #おうちごはん #朝ごパン #パン #トースト #デニッシュ #コーヒー #暮らし#食卓 #イイホシユミコ #小澤賢一 #ロッジ #器  #morning #breakfast #coffee  #foodie #foodpics #instafood #bread #foodoftheday #food #kurashiru #onthetable #toast";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12825964_1671120379819737_928581408_n.jpg?ig_cache_key=MTIwNjgyMzYwOTMxNDI3NzI3MQ%3D%3D.2"
"cm7422";"美味しかった朝ごはん💓🍴☕️\n#アボカドとドレッシング合う\n#カフェラテ\n#toast\n#salad\n#breakfast";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10467914_1066659640057468_842031374_n.jpg?ig_cache_key=MTIwNjgyMzU2MDkxOTI5MDI3Nw%3D%3D.2.l"
"larreh.is.real";"LETS SEE HOW MANY LIKES NIALL AND JAMES CAN GET!!!!💕\n-\n-\n-\n#jamescorden #niallhoran #jiall #ship #adorable #inlove #larryinthebackground #harrystyles #louistomlinson #hazza #boobear #carpoolkaraoke #latelateshow #latelateshowwith1d #dragmedown #mitam #love #perfect #f4f #smol #tol #singinggoals #rap #harryshighnote #lima #neil #toast #lifeisgreat";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/12798027_976545862428564_1068651438_n.jpg?ig_cache_key=MTIwNjgyMzQ0MzYyOTI0MjkwNQ%3D%3D.2"
"embroid_my_soul";"Coffee and curried eggs on toast. Because why the hell not!! :D nom nom nom! #food #porn #lol #foodporn #eggs #toast #coffee #crriedeggs #whynot #cuzican #boom #mealforameal #breakfast #champion #gay #dapper #dyke #gym #haha #not #lesbian #lesbo #lesbian #worklife #gayness #yolo";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12822327_1300124006680782_1278178106_n.jpg?ig_cache_key=MTIwNjgyMjc4NjE5NTI0NDIzNQ%3D%3D.2"
"foodiesoftampa";"Oxford Exchange\nPC: @editapojani\n\n#toast #bread #strawberry #food #foodie #foodies #yum #tasty #good #tampa #tampafood #tampafoodies";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12822338_1582909178697444_1688051125_n.jpg?ig_cache_key=MTIwNjgyMTYxOTE4ODk4ODUwMA%3D%3D.2.l"
"stoned_sinner";"landmark food though. 🤗 #food #landmark #thunderbay #ontario #foodislove #foodislife #icedtea #toast #potatoes #peanutbutter #sausages #eggs #breakfast #tb #lfl #fff #igdaily";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11931228_1772536642976440_2910664_n.jpg?ig_cache_key=MTIwNjgyMTQ4NDI2ODM2MTUyNw%3D%3D.2.l"
"dennisthefoodie";"Good #lunch with a great friend at @latabfood. Coffee Cured #Trout #Lunchbowl ($9) with added #sousvide #egg and #toast. In the blurry foreground is my Chickpea & Lamb lunch bowl. Latab do these healthy, environmentally conscious bowls during lunch, and have an expanded menu at dinnertime. Makes me want to check out their dinner. Quickie review up on the blog now! #latabwinebar #latabfood #yvr #vancouver #healthyfood";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10354358_1041189669272730_1718515687_n.jpg?ig_cache_key=MTIwNjgxOTk2NTUxMzc3MDQ2NQ%3D%3D.2"
"momomopeche";"おはようございます☁︎\n朝ごはーん。\nいただいたぶどうパンが本当に本当においしかった😋\nありがとうございます🍞\n・\nBonjour☁︎\nJe commence cette journée par ce pain au raisin, c'est cadeau!!\nC'est trop bon😋\nMerci beaucoup🍞\n・\nGood morning☁︎\nToday's breakfast, this raisin bread is gift！\nIt's sooooo delicious😋\nThanks🍞";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12819034_620398551434841_1539596067_n.jpg?ig_cache_key=MTIwNjgxOTg4OTQ3NTk3ODc2Nw%3D%3D.2"
"a_flavour_of_health";"There's never a bad time for beans on toast";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12822338_259027381101094_1433207129_n.jpg?ig_cache_key=MTIwNjgxODg2MDYwNzg0MDg4NQ%3D%3D.2.l"
"m4r4h";"All you need is #netflix #tea #toast and #chill #Arabian #syria #canada #sick #q8";toast;3;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1515757_1695429437369574_1953499071_n.jpg?ig_cache_key=MTIwNjgxODQzOTI4MTk5NDQ0OA%3D%3D.2.l"
